Date : 2023-12-14 15:52:40
Directory : e:\Embedded\MyLogGit
Total : 210 files,  17969 codes, 533 comments, 4476 blanks, all 22978 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\Embedded\MyLogGit\layouts\page\search.html                                  | HTML               |         28 |          0 |          5 |         33 |
| e:\Embedded\MyLogGit\layouts\page\search.json                                  | JSON               |         20 |          0 |          6 |         26 |
| e:\Embedded\MyLogGit\layouts\partials\article-list\compact.html                | HTML               |         37 |          0 |          3 |         40 |
| e:\Embedded\MyLogGit\layouts\partials\article-list\default.html                | HTML               |          4 |          0 |          0 |          4 |
| e:\Embedded\MyLogGit\layouts\partials\article-list\tile.html                   | HTML               |         35 |          0 |          5 |         40 |
| e:\Embedded\MyLogGit\layouts\partials\article\article.html                     | HTML               |          8 |          0 |          3 |         11 |
| e:\Embedded\MyLogGit\layouts\partials\article\components\content.html          | HTML               |          4 |          1 |          1 |          6 |
| e:\Embedded\MyLogGit\layouts\partials\article\components\details.html          | HTML               |         53 |          0 |          5 |         58 |
| e:\Embedded\MyLogGit\layouts\partials\article\components\footer.html           | HTML               |         17 |          0 |          3 |         20 |
| e:\Embedded\MyLogGit\layouts\partials\article\components\header.html           | HTML               |         32 |          0 |          3 |         35 |
| e:\Embedded\MyLogGit\layouts\partials\article\components\links.html            | HTML               |         25 |          0 |          1 |         26 |
| e:\Embedded\MyLogGit\layouts\partials\article\components\math.html             | HTML               |         12 |          0 |          0 |         12 |
| e:\Embedded\MyLogGit\layouts\partials\article\components\photoswipe.html       | HTML               |         37 |         11 |         20 |         68 |
| e:\Embedded\MyLogGit\layouts\partials\article\components\related-content.html  | HTML               |         13 |          0 |          0 |         13 |
| e:\Embedded\MyLogGit\layouts\partials\article\components\tags.html             | HTML               |          7 |          0 |          0 |          7 |
| e:\Embedded\MyLogGit\layouts\partials\comments\include.html                    | HTML               |          3 |          0 |          0 |          3 |
| e:\Embedded\MyLogGit\layouts\partials\comments\provider\cactus.html            | HTML               |         24 |          0 |          6 |         30 |
| e:\Embedded\MyLogGit\layouts\partials\comments\provider\cusdis.html            | HTML               |         19 |          0 |          3 |         22 |
| e:\Embedded\MyLogGit\layouts\partials\comments\provider\disqus.html            | HTML               |         20 |          0 |          2 |         22 |
| e:\Embedded\MyLogGit\layouts\partials\comments\provider\disqusjs.html          | HTML               |         55 |          0 |          6 |         61 |
| e:\Embedded\MyLogGit\layouts\partials\comments\provider\giscus.html            | HTML               |         47 |          0 |          3 |         50 |
| e:\Embedded\MyLogGit\layouts\partials\comments\provider\gitalk.html            | HTML               |         30 |          0 |          1 |         31 |
| e:\Embedded\MyLogGit\layouts\partials\comments\provider\remark42.html          | HTML               |         27 |          0 |          3 |         30 |
| e:\Embedded\MyLogGit\layouts\partials\comments\provider\twikoo.html            | HTML               |         52 |          0 |          2 |         54 |
| e:\Embedded\MyLogGit\layouts\partials\comments\provider\utterances.html        | HTML               |         36 |          0 |          5 |         41 |
| e:\Embedded\MyLogGit\layouts\partials\comments\provider\vssue.html             | HTML               |         24 |          0 |          4 |         28 |
| e:\Embedded\MyLogGit\layouts\partials\comments\provider\waline.html            | HTML               |         30 |          0 |          5 |         35 |
| e:\Embedded\MyLogGit\layouts\partials\data\description.html                    | HTML               |          7 |          3 |          2 |         12 |
| e:\Embedded\MyLogGit\layouts\partials\data\title.html                          | HTML               |         23 |          7 |          8 |         38 |
| e:\Embedded\MyLogGit\layouts\partials\footer\components\custom-font.html       | HTML               |          9 |          0 |          2 |         11 |
| e:\Embedded\MyLogGit\layouts\partials\footer\components\script.html            | HTML               |          9 |          0 |          3 |         12 |
| e:\Embedded\MyLogGit\layouts\partials\footer\custom.html                       | HTML               |          0 |          0 |          1 |          1 |
| e:\Embedded\MyLogGit\layouts\partials\footer\footer.html                       | HTML               |         20 |          0 |          4 |         24 |
| e:\Embedded\MyLogGit\layouts\partials\footer\include.html                      | HTML               |          3 |          0 |          0 |          3 |
| e:\Embedded\MyLogGit\layouts\partials\head\colorScheme.html                    | HTML               |         37 |          0 |          3 |         40 |
| e:\Embedded\MyLogGit\layouts\partials\head\custom.html                         | HTML               |          0 |          0 |          1 |          1 |
| e:\Embedded\MyLogGit\layouts\partials\head\head.html                           | HTML               |         18 |          0 |          8 |         26 |
| e:\Embedded\MyLogGit\layouts\partials\head\opengraph\include.html              | HTML               |          2 |          0 |          0 |          2 |
| e:\Embedded\MyLogGit\layouts\partials\head\opengraph\provider\base.html        | HTML               |         38 |          0 |          5 |         43 |
| e:\Embedded\MyLogGit\layouts\partials\head\opengraph\provider\twitter.html     | HTML               |         13 |          0 |          3 |         16 |
| e:\Embedded\MyLogGit\layouts\partials\head\script.html                         | HTML               |          0 |          0 |          1 |          1 |
| e:\Embedded\MyLogGit\layouts\partials\head\style.html                          | HTML               |          3 |          0 |          0 |          3 |
| e:\Embedded\MyLogGit\layouts\partials\helper\external.html                     | HTML               |         29 |          0 |          0 |         29 |
| e:\Embedded\MyLogGit\layouts\partials\helper\icon.html                         | HTML               |          6 |          0 |          0 |          6 |
| e:\Embedded\MyLogGit\layouts\partials\helper\image.html                        | HTML               |         39 |          9 |         14 |         62 |
| e:\Embedded\MyLogGit\layouts\partials\pagination.html                          | HTML               |         25 |          0 |          2 |         27 |
| e:\Embedded\MyLogGit\layouts\partials\sidebar\left.html                        | HTML               |         92 |          0 |          9 |        101 |
| e:\Embedded\MyLogGit\layouts\partials\sidebar\right.html                       | HTML               |         13 |          0 |          0 |         13 |
| e:\Embedded\MyLogGit\layouts\partials\widget\archives.html                     | HTML               |         33 |          0 |          2 |         35 |
| e:\Embedded\MyLogGit\layouts\partials\widget\categories.html                   | HTML               |         15 |          0 |          2 |         17 |
| e:\Embedded\MyLogGit\layouts\partials\widget\search.html                       | HTML               |         15 |          0 |          1 |         16 |
| e:\Embedded\MyLogGit\layouts\partials\widget\tag-cloud.html                    | HTML               |         15 |          0 |          1 |         16 |
| e:\Embedded\MyLogGit\layouts\partials\widget\toc.html                          | HTML               |         11 |          0 |          1 |         12 |
| e:\Embedded\MyLogGit\layouts\shortcodes\bilibili.html                          | HTML               |         21 |          0 |          3 |         24 |
| e:\Embedded\MyLogGit\layouts\shortcodes\gitlab.html                            | HTML               |          4 |          0 |          0 |          4 |
| e:\Embedded\MyLogGit\layouts\shortcodes\quote.html                             | HTML               |         15 |          0 |          0 |         15 |
| e:\Embedded\MyLogGit\layouts\shortcodes\tencent.html                           | HTML               |         10 |          0 |          0 |         10 |
| e:\Embedded\MyLogGit\layouts\shortcodes\video.html                             | HTML               |         14 |          0 |          1 |         15 |
| e:\Embedded\MyLogGit\layouts\shortcodes\youtube.html                           | HTML               |         13 |          0 |          0 |         13 |
| Total                                                                          |                    |     17,969 |        533 |      4,476 |     22,978 |
+--------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
